ID,SERVICE,FROM,AUTHOR,DESCRIPTION,DATE ENCODED,DATE ACCOMPLISHED,STATUS,ATTENDED BY,DELSTAT
23,PHNCALL,registrar,jeo,looking for sior heidi,10-08-2016 11:02AM,10-25-2016 08:45AM,done,r,0
24,PHNCALL,adsf,adsf,tas,10-03-2016 12:12PM,,waiting,,1
25,NTWRK,adsf,adf,asdf,10-03-2016 12:15PM,,waiting,,1
26,RSRVTION,asdf,adsf,asdf:asdf,10-03-2016 12:21PM,,waiting,,1
27,RSRVTION,h.s guidance,rods,h.s guidance:10-04-16,10-09-2016 08:48AM,01-31-2017 08:25AM,done,vic,0
28,PRNTR,kasama student council,lemuel,check-up,10-09-2016 10:14AM,10-25-2016 08:45AM,done,u,0
29,RSRVTION,finance,rods,finance:10/05/16,10-10-2016 08:48AM,10-25-2016 08:47AM,done,r,0
30,PHNCALL,maam sheobe(hrdo),lemuel,looking for sir rey,10-11-2016 09:14AM,10-19-2016 01:30PM,done,rods,0
31,PHNCALL,junior acad office,lemue;,usb damage in system unit,10-11-2016 09:15AM,10-25-2016 08:45AM,done,r,0
32,PHNCALL,hs facualty,,acd pw maam del,10-11-2016 10:01AM,,waiting,,1
33,PHNCALL,hs faculty,vic,"acd wife,pw maam,dell",10-11-2016 10:02AM,10-11-2016 10:39AM,done,vic,0
34,PHNCALL,hrd mam.shobe,vic,looking for sir rey.,10-06-2016 11:13AM,10-19-2016 01:31PM,done,rods,0
35,SYSTMUNIT,c.e.s,rods,request to repair,10-07-2016 10:33AM,10-27-2016 10:01AM,done,f,0
36,RSRVTION,shs-facualty,vic,comlab1 8/9:am&1/3pm:8:00/9:00am&1:00/3:00pm,10-07-2016 11:05AM,,waiting,,1
37,RSRVTION,as,d,comlab1 10.8.16:2,10-07-2016 11:07AM,,waiting,,1
38,RSRVTION,shs-faculty,vic,comlab1 10.7.16:10.8.16 8/9am&3/9pm,10-07-2016 11:10AM,01-31-2017 08:25AM,done,3,0
39,PHNCALL,finance,lemuel,"return call, sir sismar",10-07-2016 02:28PM,10-19-2016 01:31PM,done,r,0
40,RSRVTION,shsep,vic,netlab:10/08/2016 (10-12am & 3-5pm),10-07-2016 04:20PM,01-31-2017 08:24AM,done,vic,0
41,RSRVTION,senior high faculty,rods,com. lab 2: oct.15 and 22 8am 10am 1pm to 3pm,10-10-2016 02:56PM,10-25-2016 08:45AM,done,r,0
42,PHNCALL,mam trixa,beltran,ibed id picture,10-12-2016 08:38AM,10-12-2016 08:38AM,done,beltran,0
43,PHNCALL,high school faculty,beltran,internet connection,10-12-2016 10:08AM,10-19-2016 01:29PM,done,rods,0
44,PHNCALL,camino,beltran,youtube acces,10-12-2016 10:16AM,10-12-2016 10:17AM,done,beltran,0
45,PHNCALL,ibed secritary,beltran,internet connection,10-12-2016 11:27AM,10-12-2016 11:39AM,done,beltran,0
46,PHNCALL,ssc,,internet connection,10-12-2016 08:11PM,10-19-2016 01:29PM,done,rods,0
47,PHNCALL,sir daes,beltran,internet connection,10-12-2016 08:13PM,10-12-2016 08:13PM,done,beltran,0
48,PHNCALL,sac office,mera,looking for sir tong,10-14-2016 10:43AM,10-19-2016 01:31PM,done,r,0
49,PHNCALL,ibed sec,vic,tellphone ,10-17-2016 07:30AM,01-31-2017 08:24AM,done,vic,0
50,SYSTMUNIT,support,rods,repair,10-17-2016 09:36AM,01-31-2017 08:24AM,done,vic,0
